date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
6/5/20 12:59,realDonaldTrump,,8564,15868,73117,"It’s a stupendous number. It’s joyous, let’s call it like it is. The Market was right. It’s stunning! @jimcramer @CNBC",,@jimcramer @CNBC,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268890135459921921
6/5/20 12:54,realDonaldTrump,,15168,26378,140960,"Oh no, the Dems are worried again. The only one that can kill this comeback is Sleepy Joe Biden!",,,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268888880264155136
6/5/20 12:51,realDonaldTrump,,4494,21558,102150,"Congratulations to wonderful Charles Payne on having been so optimistic, and therefore correct. Market up BIG!!!",,,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268888049792036867
6/5/20 12:48,realDonaldTrump,,14416,19284,112079,I will be doing a News Conference at 10:00 A.M. on the Jobs Numbers! White House.,,,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268887468163698698
6/5/20 12:43,realDonaldTrump,,4978,15133,77035,This is an AMAZING JOBS REPORT! Edward Lawrence @FoxNews,,@FoxNews,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268886111130189824
6/5/20 12:41,realDonaldTrump,,5341,16705,79512,I am so stunned. I’ve never seen numbers like this and I’ve been doing this for 30 years! Steve M. @MariaBartiromo,,@MariaBartiromo,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268885664206073856
6/5/20 12:34,realDonaldTrump,,6609,16347,87630,THESE NUMBERS ARE INCREDIBLE! @MariaBartiromo,,@MariaBartiromo,,1.26888E+18,https://twitter.com/realDonaldTrump/status/1268883807375183873
6/5/20 12:33,realDonaldTrump,,27354,28664,178127,Really Big Jobs Report. Great going President Trump (kidding but true)!,,,,1.26888E+18,https://twitter.com/realDonaldTrump/status/1268883561651884032
6/5/20 12:20,realDonaldTrump,SteveDaines,2119,7771,32317,No Contest. Steve blows him away. So important for Montana. I’ll be there to help Steve win big!!!,,,,1.26888E+18,https://twitter.com/realDonaldTrump/status/1268880321786851336
6/5/20 12:16,realDonaldTrump,SteveDaines,1694,8123,33123,True. Steve is a GREAT SENATOR. Need him badly in Washington. Complete and Total Endorsement!,,,,1.26888E+18,https://twitter.com/realDonaldTrump/status/1268879488223522816
6/5/20 11:58,realDonaldTrump,MikeCrapo,1295,5044,24201,Great going Mike!,,,,1.26887E+18,https://twitter.com/realDonaldTrump/status/1268874882827378688
6/5/20 11:56,realDonaldTrump,SenatorRisch,1120,5516,25452,Thanks for your invaluable help in getting a great man PASSED to run VOICE OF AMERICA. Trying for 25 years and you got it done Jim. Idaho is proud of you!,,,,1.26887E+18,https://twitter.com/realDonaldTrump/status/1268874377749319683
6/5/20 11:52,realDonaldTrump,GovernorLittle,1446,5754,29052,Great going Brad!,,,,1.26887E+18,https://twitter.com/realDonaldTrump/status/1268873258985799681
6/5/20 11:42,realDonaldTrump,SenRonJohnson,1998,9263,39416,We just landed Wisconsin a massive Navy shipbuilding contract. Beautiful designs!,,,,1.26887E+18,https://twitter.com/realDonaldTrump/status/1268870744538320898
6/5/20 11:35,realDonaldTrump,realDonaldTrump,8871,21675,97505,USA!,,,,1.26887E+18,https://twitter.com/realDonaldTrump/status/1268869099431608320
6/5/20 5:21,realDonaldTrump,TeamTrump,14331,32595,133970,So great to have Michael home. Just arrived. Very exciting. Thank you to Iran. Don’t wait until after U.S. Election to make the Big deal. I’m going to win. You’ll make a better deal now!,,,,1.26877E+18,https://twitter.com/realDonaldTrump/status/1268774841810911232
6/5/20 2:16,realDonaldTrump,ObamaMalik,11292,18161,58778,A must watch!,,,,1.26873E+18,https://twitter.com/realDonaldTrump/status/1268728269840449536
6/5/20 1:57,realDonaldTrump,,27357,41385,147952,"Sleepy Joe Biden’s 1994 Crime Bill was a total disaster. It was mass incarceration for Black people, many of them innocent. I did Criminal Justice Reform, something Obama & Biden didn’t even try to do - & couldn’t do even if they did try. Biden can never escape his Crime Bill!",,,,1.26872E+18,https://twitter.com/realDonaldTrump/status/1268723566046044160
6/4/20 23:36,realDonaldTrump,,18975,18124,80997,"...Unrelated, I gave Alaska ANWR, major highways, and more. Get any candidate ready, good or bad, I don’t care, I’m endorsing. If you have a pulse, I’m with you!",,,,1.26869E+18,https://twitter.com/realDonaldTrump/status/1268688014630322177
6/4/20 23:36,realDonaldTrump,,41214,32465,139452,"Few people know where they’ll be in two years from now, but I do, in the Great State of Alaska (which I love) campaigning against Senator Lisa Murkowski. She voted against HealthCare, Justice Kavanaugh, and much else...",,,,1.26869E+18,https://twitter.com/realDonaldTrump/status/1268688013791506450
6/4/20 23:32,realDonaldTrump,,13869,31664,125572,“Police Groups Break With Biden” @politico His handlers want him to “Defund the Police.” I want more money for Law Enforcement!,,@politico,,1.26869E+18,https://twitter.com/realDonaldTrump/status/1268686977320263681
6/4/20 23:26,realDonaldTrump,,12167,25072,101174,Great to be with our wonderful Men and Women of the @SecretService. What a job they are doing!,,@SecretService,,1.26869E+18,https://twitter.com/realDonaldTrump/status/1268685511755026432
6/4/20 23:20,realDonaldTrump,,30068,25336,113545,"The problem with asking for someone to give you a letter of resignation, which you do as a courtesy to help them save face, is that it is then harder to say you fired them. I did fire James Mattis. He was no good for Obama, who fired him also, and was no good for me!",,,,1.26868E+18,https://twitter.com/realDonaldTrump/status/1268684040334446593
6/4/20 23:16,realDonaldTrump,,7916,13098,61749,"...in my inner-circle, was totally exhausted by the job, and in the end just slinked away into obscurity. They all want to come back for a piece of the limelight!",,,,1.26868E+18,https://twitter.com/realDonaldTrump/status/1268683085136224257
6/4/20 23:16,realDonaldTrump,,10506,17872,84088,"John Kelly didn’t know I was going to fire James Mattis, nor did he have any knowledge of my asking for a letter of resignation. Why would I tell him, he was not...",,,,1.26868E+18,https://twitter.com/realDonaldTrump/status/1268683083852779520
6/4/20 22:58,realDonaldTrump,,32219,48471,225980,"The problem is not the very talented, low-flying helicopter pilots wanting to save our city, the problem is the arsonists, looters, criminals, and anarchists, wanting to destroy it (and our Country)!",,,,1.26868E+18,https://twitter.com/realDonaldTrump/status/1268678440225583105
6/4/20 22:49,realDonaldTrump,,1846,10279,46891,"...Michael is Tough, Smart, and Loves our Country. This has been a big battle in Congress for 25 years. Thank you to our Great Republican Senate! @SenateCloakroom",,@SenateCloakroom,,1.26868E+18,https://twitter.com/realDonaldTrump/status/1268676378574061571
6/4/20 22:49,realDonaldTrump,,3798,16634,72581,"Congratulations to Michael Pack! Nobody has any idea what a big victory this is for America. Why? Because he is going to be running the VOICE OF AMERICA (@VOANews), and everything associated with it...",,@VOANews,,1.26868E+18,https://twitter.com/realDonaldTrump/status/1268676374501502977
6/4/20 22:44,realDonaldTrump,,26174,46813,116516,"I thought this letter from respected retired Marine and Super Star lawyer, John Dowd, would be of interest to the American People. Read it!",,,,1.26868E+18,https://twitter.com/realDonaldTrump/status/1268675068814659584
6/4/20 22:28,realDonaldTrump,,86655,101541,588707,YOU DON’T BURN CHURCHES IN AMERICA!,,,,1.26867E+18,https://twitter.com/realDonaldTrump/status/1268671097010094082
6/4/20 22:28,realDonaldTrump,,4113,17842,92959,"...to the UNITED STATES! We have now brought more than 40 American hostages and detainees back home since I took office. Thank you to Iran, it shows a deal is possible!",,,,1.26867E+18,https://twitter.com/realDonaldTrump/status/1268670884501426182
6/4/20 22:28,realDonaldTrump,,5871,28747,160310,"I just got off the phone with former American hostage Michael White, who is now in Zurich after being released from Iran. He will be on a U.S. plane shortly, and is COMING HOME...",,,,1.26867E+18,https://twitter.com/realDonaldTrump/status/1268670883121500160
6/4/20 20:08,realDonaldTrump,,38187,51245,193415,"The Radical Left Democrats new theme is “Defund the Police”. Remember that when you don’t want Crime, especially against you and your family. This is where Sleepy Joe is being dragged by the socialists. I am the complete opposite, more money for Law Enforcement! #LAWANDORDER",,,#LAWANDORDER,1.26864E+18,https://twitter.com/realDonaldTrump/status/1268635752214208514
6/4/20 15:26,realDonaldTrump,,11153,27386,158796,....I will never stop working to secure the release of all Americans held hostage overseas! Thank you Switzerland for your great assistance.,,,,1.26856E+18,https://twitter.com/realDonaldTrump/status/1268564690143232001
6/4/20 15:26,realDonaldTrump,,19658,57620,324206,"I am to happy announce that Navy Veteran, Michael White, who has been detained by Iran for 683 days, is on a Swiss plane that just left Iranian Airspace. We expect him to be home with his family in America very soon....",,,,1.26856E+18,https://twitter.com/realDonaldTrump/status/1268564689069527042
6/4/20 14:37,realDonaldTrump,,13404,25926,103014,"Please let this serve as my Complete and Total Endorsement of a great fighter and ally in North Carolina, @LyndaBennettNC. She is strong on Crime, Borders, Military, our Great Vets &amp; 2A. She will be a great help to me in DC. EARLY VOTING STARTS TODAY. We need Lynda Bennett! #NC11",,@LyndaBennettNC,#NC11,1.26855E+18,https://twitter.com/realDonaldTrump/status/1268552570617901058
6/4/20 12:38,realDonaldTrump,DonaldJTrumpJr,14273,28749,119479,Disgraceful!,,,,1.26852E+18,https://twitter.com/realDonaldTrump/status/1268522581944082433
6/4/20 10:59,realDonaldTrump,,124108,91194,556472,MAKE AMERICA GREAT AGAIN!,,,,1.2685E+18,https://twitter.com/realDonaldTrump/status/1268497685553823745
6/4/20 10:58,realDonaldTrump,,61405,51063,314697,LAW & ORDER!,,,,1.2685E+18,https://twitter.com/realDonaldTrump/status/1268497398239842307
6/4/20 10:58,realDonaldTrump,TrumpWarRoom,9008,16265,53511,The Fake Newspaper!,,,,1.2685E+18,https://twitter.com/realDonaldTrump/status/1268497297702367235
6/4/20 10:54,realDonaldTrump,bennyjohnson,5512,16785,70738,True!,,,,1.2685E+18,https://twitter.com/realDonaldTrump/status/1268496433809952769
6/4/20 10:54,realDonaldTrump,johncardillo,14289,14655,53456,"Mueller should have never been appointed, although he did prove that I must be the most honest man in America!",,,,1.2685E+18,https://twitter.com/realDonaldTrump/status/1268496283649609730
6/4/20 10:51,realDonaldTrump,RyanAFournier,3704,10945,46415,How are they doing together?,,,,1.2685E+18,https://twitter.com/realDonaldTrump/status/1268495510647836673
6/4/20 10:50,realDonaldTrump,bennyjohnson,3185,12002,42823,So many people hurt!,,,,1.2685E+18,https://twitter.com/realDonaldTrump/status/1268495209790353408
6/4/20 10:48,realDonaldTrump,charliekirk11,7464,14066,46915,"No. Roger was a victim of a corrupt and illegal Witch Hunt, one which will go down as the greatest political crime in history. He can sleep well at night!",,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268494718394085376
6/4/20 10:34,realDonaldTrump,charliekirk11,4137,11074,40554,Interesting!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268491289777131520
6/4/20 10:31,realDonaldTrump,charliekirk11,3386,7248,31616,Great Book. Make Charlie Number One Again!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268490586845298689
6/4/20 10:29,realDonaldTrump,charliekirk11,3454,14920,48371,Section 230!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268490114835058688
6/4/20 10:27,realDonaldTrump,seanmdav,1899,8191,33888,Good work Ted!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268489446279741442
6/4/20 10:24,realDonaldTrump,RepMattGaetz,2236,13148,45374,Thank you Matt!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268488763124178949
6/4/20 10:22,realDonaldTrump,seanmdav,2119,9153,36154,Unfair!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268488412945952769
6/4/20 10:21,realDonaldTrump,GOP,3860,13945,47748,This Witch Hunt should never have begun!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268488030471536641
6/4/20 10:17,realDonaldTrump,stillgray,9639,15925,68597,Nasty!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268487038275325954
6/4/20 10:16,realDonaldTrump,GOPChairwoman,5345,22998,74996,Caught!,,,,1.26849E+18,https://twitter.com/realDonaldTrump/status/1268486703402102785
6/4/20 4:28,realDonaldTrump,DonaldJTrumpJr,7532,15031,68994,YES!,,,,1.2684E+18,https://twitter.com/realDonaldTrump/status/1268399224942706688
6/4/20 4:25,realDonaldTrump,HawleyMO,3434,17954,63074,Wow. Very impressive Josh!,,,,1.2684E+18,https://twitter.com/realDonaldTrump/status/1268398470286761985
